Price,Brand,Model,Reg_Date,Km,Capacity,Type
41500000.0,honda,air blade,2023.0,2000.0,100 - 175 cc,tay ga
55000000.0,piaggio,sprint,2023.0,10000.0,100 - 175 cc,tay ga
16700000.0,piaggio,vespa,2014.0,12000.0,100 - 175 cc,tay ga
28000000.0,yamaha,fz,2016.0,77777.0,100 - 175 cc,tay côn/moto
19500000.0,yamaha,exciter,2017.0,50000.0,100 - 175 cc,tay côn/moto
9000000.0,yamaha,jupiter,2011.0,30000.0,100 - 175 cc,xe số
42800000.0,honda,vario,2020.0,9000.0,100 - 175 cc,tay ga
13000000.0,honda,blade,2018.0,30000.0,100 - 175 cc,xe số
29900000.0,honda,air blade,2016.0,9000.0,100 - 175 cc,tay ga
8600000.0,honda,air blade,2012.0,18600.0,100 - 175 cc,tay ga
38500000.0,honda,sh mode,2015.0,15000.0,100 - 175 cc,tay ga
9500000.0,honda,air blade,2012.0,56789.0,100 - 175 cc,tay ga
11800000.0,honda,winner,2017.0,9797.0,100 - 175 cc,tay côn/moto
8500000.0,honda,wave,2013.0,20000.0,100 - 175 cc,xe số
15500000.0,piaggio,liberty,2013.0,42000.0,100 - 175 cc,tay ga
8800000.0,honda,wave,2009.0,20000.0,100 - 175 cc,xe số
22800000.0,gpx,demon x 125cc,2019.0,28686.0,100 - 175 cc,tay côn/moto
11000000.0,honda,winner,2017.0,53000.0,100 - 175 cc,tay côn/moto
17500000.0,honda,winner,2019.0,9000.0,100 - 175 cc,tay côn/moto
18999000.0,honda,lead,2014.0,20000.0,100 - 175 cc,tay ga
21300000.0,suzuki,raider,2014.0,12345.0,100 - 175 cc,tay côn/moto
30800000.0,honda,air blade,2017.0,9000.0,100 - 175 cc,tay ga
4500000.0,honda,wave,2013.0,11111.0,50 - 100 cc,xe số
3900000.0,yamaha,taurus,2012.0,15000.0,100 - 175 cc,xe số
23000000.0,honda,air blade,2016.0,15000.0,100 - 175 cc,tay ga
41500000.0,honda,sh,2016.0,13177.0,100 - 175 cc,tay ga
36900000.0,honda,vario,2020.0,12000.0,100 - 175 cc,tay ga
31000000.0,honda,future,2019.0,9999.0,100 - 175 cc,xe số
26500000.0,honda,wave,2014.0,25000.0,100 - 175 cc,xe số
10000000.0,piaggio,vespa,2012.0,20000.0,100 - 175 cc,tay ga
12800000.0,honda,wave,2015.0,55000.0,100 - 175 cc,xe số
96000000.0,honda,sh,2021.0,4.0,100 - 175 cc,tay ga
